Company,Closing Price,Day's Value (mn),Day's Volume (Nos.),Total No. of Outstanding Securities
TAMIJTEX,130.70,15.19,"115,769.00","30,064,767"
TB10Y0126,98.76,-,-,"260,000,000"
TB10Y0127,95.36,-,-,"260,000,000"
TB10Y0130,95.50,-,-,"400,000,000"
TB10Y0132,84.29,-,-,"450,000,000"
TB10Y0135,109.43,-,-,"350,000,000"
TB10Y0231,81.34,-,-,"450,000,000"
TB10Y0234,108.97,-,-,"150,363,000"
TB10Y0333,89.56,-,-,"600,000,000"
TB10Y0335,109.27,-,-,"400,000,000"
TB10Y0429,-,-,-,"267,500,000"
TB10Y0434,109.56,-,-,"138,189,000"
TB10Y0530,93.70,-,-,"450,000,000"
TB10Y0531,79.84,-,-,"450,000,000"
TB10Y0532,-,-,-,"430,000,000"
TB10Y0535,108.28,-,-,"350,000,000"
TB10Y0628,93.69,-,-,"280,000,000"
TB10Y0629,93.85,-,-,"300,000,000"
TB10Y0630,93.11,-,-,"450,000,000"
TB10Y0632,88.44,-,-,"450,000,000"
TB10Y0634,112.20,-,-,"240,279,000"
TB10Y0726,97.59,-,-,"270,000,000"
TB10Y0730,89.96,-,-,"400,000,000"
TB10Y0731,77.68,-,-,"400,000,000"
TB10Y0735,99.70,-,-,"300,000,000"
TB10Y0825,99.93,-,-,"300,000,000"
TB10Y0829,96.30,-,-,"400,000,000"
TB10Y0833,93.29,-,-,"253,613,000"
TB10Y0932,88.20,-,-,"200,000,000"
TB10Y1027,94.06,-,-,"280,000,000"
TB10Y1030,80.66,-,-,"450,000,000"
TB10Y1031,83.33,-,-,"450,000,000"
TB10Y1128,91.55,-,-,"300,000,000"
TB10Y1229,95.85,-,-,"400,000,000"
TB10Y1232,89.13,-,-,"250,000,000"
TB15Y0127,101.56,-,-,"27,500,000"
TB15Y0128,104.80,-,-,"10,000,000"
TB15Y0129,105.44,-,-,"15,000,000"
TB15Y0226,99.46,-,-,"20,000,000"
TB15Y0227,101.80,-,-,"27,500,000"
TB15Y0228,105.11,-,-,"10,000,000"
TB15Y0229,105.16,-,-,"15,000,000"
TB15Y0326,99.39,-,-,"20,000,000"
TB15Y0327,101.94,-,-,"27,500,000"
TB15Y0328,105.36,-,-,"10,000,000"
TB15Y0329,104.86,-,-,"35,000,000"
TB15Y0339,110.85,-,-,"74,499,000"
TB15Y0340,112.72,1.69,"15,000.00","150,000,000"
TB15Y0426,99.35,-,-,"25,000,000"
TB15Y0427,102.09,-,-,"50,000,000"
TB15Y0428,105.42,-,-,"20,000,000"
TB15Y0429,104.76,-,-,"35,000,000"
TB15Y0431,88.37,-,-,"285,000,000"
TB15Y0437,82.78,-,-,"422,800,000"
TB15Y0526,99.30,-,-,"25,000,000"
TB15Y0527,102.28,-,-,"50,000,000"
TB15Y0528,105.51,-,-,"20,000,000"
TB15Y0529,104.79,-,-,"40,000,000"
TB15Y0535,90.35,-,-,"445,000,000"
TB15Y0626,99.22,-,-,"25,000,000"
TB15Y0627,102.51,-,-,"50,000,000"
TB15Y0628,105.62,-,-,"20,000,000"
TB15Y0629,104.87,-,-,"40,000,000"
TB15Y0635,88.93,-,-,"449,930,000"
TB15Y0637,86.44,-,-,"206,647,000"
TB15Y0727,102.79,-,-,"35,000,000"
TB15Y0728,105.72,-,-,"15,000,000"
TB15Y0729,104.63,-,-,"25,000,000"
TB15Y0730,98.13,-,-,"300,000,000"
TB15Y0736,68.57,-,-,"450,000,000"
TB15Y0825,99.98,-,-,"14,000,000"
TB15Y0826,99.37,-,-,"15,000,000"
TB15Y0828,105.78,-,-,"15,000,000"
TB15Y0829,103.79,-,-,"25,000,000"
TB15Y0925,99.83,-,-,"14,000,000"
TB15Y0926,99.98,-,-,"15,000,000"
TB15Y0927,103.26,-,-,"35,000,000"
TB15Y0928,105.87,-,-,"15,000,000"
TB15Y0929,103.53,-,-,"25,000,000"
TB15Y0930,91.78,-,-,"300,000,000"
TB15Y0933,82.46,-,-,"450,000,000"
TB15Y1025,99.73,-,-,"15,000,000"
TB15Y1026,100.73,-,-,"20,000,000"
TB15Y1027,103.55,-,-,"10,000,000"
TB15Y1028,105.91,-,-,"15,000,000"
TB15Y1029,103.30,-,-,"25,000,000"
TB15Y1125,99.65,-,-,"15,000,000"
TB15Y1126,100.78,-,-,"20,000,000"
TB15Y1127,103.94,-,-,"10,000,000"
TB15Y1128,105.60,-,-,"15,000,000"
TB15Y1129,103.51,-,-,"68,000,000"
